input,output
" For me , it's one of those games that are fun to both watch and play . ", Are you a football player ? 
 Are you a football player ? ," No , I just for fun with my friends . We play two hand touch or flag football . We're too old to play tackle football . "
" No , I just for fun with my friends . We play two hand touch or flag football . We're too old to play tackle football . ", What is two hand touch and flag football ? 
 What is two hand touch and flag football ? ," Instead of tackling somebody , you just have to touch them with two hands , or if it is flag football , grab the flag that the ball carrier is wearing . "
" Instead of tackling somebody , you just have to touch them with two hands , or if it is flag football , grab the flag that the ball carrier is wearing . ", I see . It's safer then right ? 
 I see . It's safer then right ? ," Exactly . We play every Saturdays on the field by the tennis courts . If you want to learn and play a little , you're welcome to join us . "
" Exactly . We play every Saturdays on the field by the tennis courts . If you want to learn and play a little , you're welcome to join us . ", I'll give it a try . Give me a call and let's go down together . 
 I'll give it a try . Give me a call and let's go down together . , Ok . I'll call you Saturday morning . 
 Ok . I'll call you Saturday morning . , Great . 
What upsets you ? ," My parents called . As usual , they reminded me again that I should have a plan to marry by my late 20s . Easier said then done . Who should I marry ? I have no time to go on a date . "
" My parents called . As usual , they reminded me again that I should have a plan to marry by my late 20s . Easier said then done . Who should I marry ? I have no time to go on a date . ", It is not your mother finding one for you ? 
 It is not your mother finding one for you ? ," I will find one myself , of course . I ’ m a modern girl . "
" I will find one myself , of course . I ’ m a modern girl . "," Perhaps you can try the three minutes date , the latest type . "
" Perhaps you can try the three minutes date , the latest type . "," You mean dozens of the opposite sex meet each other for three minutes in a dimly bar serving alcohol , I hate that idea . "
" You mean dozens of the opposite sex meet each other for three minutes in a dimly bar serving alcohol , I hate that idea . "," No , there is an updated virgin , three minutes video date . I know an online dating website providing such service with a microphone and webcam , you can sigh for it . You can be face-to-face with a guy talking for maximum three minutes . "
" No , there is an updated virgin , three minutes video date . I know an online dating website providing such service with a microphone and webcam , you can sigh for it . You can be face-to-face with a guy talking for maximum three minutes . ", I don ’ t think it makes sense . Three minutes is such a short time . 
 I don ’ t think it makes sense . Three minutes is such a short time . ," I think you can find out if there is a possibility of romance within the first second of meeting someone , so-called love at first sight . "
" I think you can find out if there is a possibility of romance within the first second of meeting someone , so-called love at first sight . "," Anyway , I don ’ t want to post my face up for sale on the internet like that . "
" Anyway , I don ’ t want to post my face up for sale on the internet like that . "," Don ’ t worry . There are many other options using the internet as dating methods . Some sites operate at international standard even have got certifications . Of course , for these sites , you have to pay a membership fee . But all in all , it is more serious and professional . The chance of meeting a good and serious person who does not play games is higher . "
" Don ’ t worry . There are many other options using the internet as dating methods . Some sites operate at international standard even have got certifications . Of course , for these sites , you have to pay a membership fee . But all in all , it is more serious and professional . The chance of meeting a good and serious person who does not play games is higher . ", I don ’ t want to post my personal information on the internet . I ’ m not knowing who is reading it . 
Are you going to the party on Saturday ? , I was thinking about it . Are you ? 
 I was thinking about it . Are you ? ," Yeah , I heard it's going to be a lot of fun . "
" Yeah , I heard it's going to be a lot of fun . "," Really ? Well , what time does it start ? "
" Really ? Well , what time does it start ? ", It starts at 8 
 It starts at 8 ," Well , who all is going to be there ? "
" Well , who all is going to be there ? ", Everyone from school . 
 Everyone from school . , How do you know it's going to be so fun ? 
 How do you know it's going to be so fun ? ," This party is going to have a DJ , food , and drinks . "
" This party is going to have a DJ , food , and drinks . "," Wow , that does sound like it's going to be fun . "
" Wow , that does sound like it's going to be fun . ", So am I going to see you at the party ? 
 So am I going to see you at the party ? ," Yeah , I will be there . "
Could you talk to me for a few minutes about my grades ? , Step into my office for a moment . What is your concern ? 
 Step into my office for a moment . What is your concern ? , Am I failing ? 
 Am I failing ? , Let's go on the computer to see what's up . Do you think you are doing well ? 
 Let's go on the computer to see what's up . Do you think you are doing well ? , I am pretty sure that I am in trouble . 
 I am pretty sure that I am in trouble . ," I can see that you are trying , but where do you think you could improve ? "
" I can see that you are trying , but where do you think you could improve ? ", I missed a few classes ; I need to make sure I come to school on a regular basis . 
 I missed a few classes ; I need to make sure I come to school on a regular basis . ," Having a regular study routine and following it is very important , right ? "
" Having a regular study routine and following it is very important , right ? ", I'll try ; it's hard ! 
 I'll try ; it's hard ! , Thanks for stopping by ! 
Good luck on your test tomorrow . We'll be crossing our fingers for you ! , Thanks . 
I'll never ever work together with him ! , What happened ? Quarrel again ? 
 What happened ? Quarrel again ? , Will you take my materials back from him for me ? Please ! 
 Will you take my materials back from him for me ? Please ! , Don't ask me . I don't wanna be involved in your quarrel . 
"Oh , my God ! I've been cheated ! ", What ? What did you buy ? 
 What ? What did you buy ? , It's a brick ! I can't believe how stupid I was . Damn it ! 
 It's a brick ! I can't believe how stupid I was . Damn it ! , What is it ? Why did you buy a brick ? 
 What is it ? Why did you buy a brick ? ," There was a guy on the sidewalk.He had three new boxes , Panasonic video camera boxes.He said he had to get rid of them quick . "
" There was a guy on the sidewalk.He had three new boxes , Panasonic video camera boxes.He said he had to get rid of them quick . ", And ? 
 And ? , So he said he'd sell me one for twenty dollars . A four-hundred-dollar camera for twenty bucks . 
 So he said he'd sell me one for twenty dollars . A four-hundred-dollar camera for twenty bucks . , And it's a brick ? 
 And it's a brick ? , Yes . 
 Yes . , I can't believe how stupid you are . Why didn't you open the box ? 
 I can't believe how stupid you are . Why didn't you open the box ? ," I wanted to . But he said , no , the box is still in its plastic wrap from the store.If it's opened , other people won't believe it's new . "
" I wanted to . But he said , no , the box is still in its plastic wrap from the store.If it's opened , other people won't believe it's new . ", So he had the boxes wrapped in plastic . 
 So he had the boxes wrapped in plastic . ," Yes , it was the kind of perfect plastic wrap that comes with new products.Look , it even had a bar-code price sticker on it ! It looked brand new . "
" Yes , it was the kind of perfect plastic wrap that comes with new products.Look , it even had a bar-code price sticker on it ! It looked brand new . ", But why would a guy be selling new video cameras for twenty dollars ? 
 But why would a guy be selling new video cameras for twenty dollars ? , He said he had to get rid of them . They were stolen . 
 He said he had to get rid of them . They were stolen . ," Aha ! Now I understand.You were trying to buy stolen goods on the sidewalk.So , what I think is , you deserve to get cheated ! "
" Aha ! Now I understand.You were trying to buy stolen goods on the sidewalk.So , what I think is , you deserve to get cheated ! "," C'mon , don't blame me ! I thought it was a new camera . We could use it.We were even thinking about buying a camera . I don't understand how he could have such a perfect-looking box . "
" C'mon , don't blame me ! I thought it was a new camera . We could use it.We were even thinking about buying a camera . I don't understand how he could have such a perfect-looking box . ", That's no problem.He just has a friend who works in a shop that can do plastic wrap . That's easy.And probably it's the same shop he got the boxes from.Maybe his friend works in an electronics store . They sell video cameras there.Probably they had a couple video camera boxes lying around.So they get the idea of wrapping bricks to sell to fools like you.Twenty dollars a brick . That's a good profit if they can sell enough bricks . 
 That's no problem.He just has a friend who works in a shop that can do plastic wrap . That's easy.And probably it's the same shop he got the boxes from.Maybe his friend works in an electronics store . They sell video cameras there.Probably they had a couple video camera boxes lying around.So they get the idea of wrapping bricks to sell to fools like you.Twenty dollars a brick . That's a good profit if they can sell enough bricks . ," You're right , Sarah . I was a fool . I can't believe it . How could I fall for such a trick ? "
Is the clock right ? , I'm afraid it gains a little . 
 I'm afraid it gains a little . , By how many minutes ? 
 By how many minutes ? , Two . 
"Hey , Mary , what's up ? "," Just so so . Last night I met this great guy at the bar and we had such a wonderful time , so we decided to meet again tonight . "
" Just so so . Last night I met this great guy at the bar and we had such a wonderful time , so we decided to meet again tonight . "," Oh , that's exciting . What does this guy look like ? Is he hot ? "
" Oh , that's exciting . What does this guy look like ? Is he hot ? "," Well , I didn't think so at first . But as we started talking , I found him extremely funny and witty . I couldn't stop laughing at his jokes ! And we have so much in common . We like the same team , music , and most amazingly , we both love Chinese food ! I have the feeling that we are going to be great friends . "
" Well , I didn't think so at first . But as we started talking , I found him extremely funny and witty . I couldn't stop laughing at his jokes ! And we have so much in common . We like the same team , music , and most amazingly , we both love Chinese food ! I have the feeling that we are going to be great friends . ", It seems you two are a good match . What qualities do you look for in a friend ? 
 It seems you two are a good match . What qualities do you look for in a friend ? ," There's nothing definite I think . I don't have a list or anything , but when I first meet somebody , I can usually tell whether or not that person is going to be a good friend . It seems I have radar helping me spot new friends . "
" There's nothing definite I think . I don't have a list or anything , but when I first meet somebody , I can usually tell whether or not that person is going to be a good friend . It seems I have radar helping me spot new friends . "," Well , that's something I've never heard of . But if you ask me what I value most in a friend , I would say honesty . "
" Well , that's something I've never heard of . But if you ask me what I value most in a friend , I would say honesty . ", I agree . You can't expect a close relationship with a dishonest person . Those are the people that will turn their back on you when you are in need . 
 I agree . You can't expect a close relationship with a dishonest person . Those are the people that will turn their back on you when you are in need . ," Yeah , I know . A friend in need is a friend indeed . I don't need fair-weather friends either . "
What ’ s up ? You don ’ t look too good . ," Yeah , my head hurts , that ’ s all . I ’ Ve been in physics class all day . It ’ s killer ! "
" Yeah , my head hurts , that ’ s all . I ’ Ve been in physics class all day . It ’ s killer ! "," I liked physics . It ’ s all math , really . arcs , curves , velocity , cool stuff . "
" I liked physics . It ’ s all math , really . arcs , curves , velocity , cool stuff . "," Yeah , yeah , but today ’ s lesson was all about the creation of the universe . "
" Yeah , yeah , but today ’ s lesson was all about the creation of the universe . ", A physics class about the creation of the universe ? That ’ s some pretty unscientific language there . Sounds more religious to me . 
 A physics class about the creation of the universe ? That ’ s some pretty unscientific language there . Sounds more religious to me . , It ’ s all religion . Take the theory of the Big Bang.How is it possible that all of the stuff in the universe comes from an explosion ? That ’ s no better than Atlas carrying the globe on his back or African myths about turtles and stuff . 
 It ’ s all religion . Take the theory of the Big Bang.How is it possible that all of the stuff in the universe comes from an explosion ? That ’ s no better than Atlas carrying the globe on his back or African myths about turtles and stuff . ," Turtles ? Whatever ... Look , all that ’ s required for the creation of matter an imbalance of particles and anti-particles . At least , that ’ s what the math says . "
" Turtles ? Whatever ... Look , all that ’ s required for the creation of matter an imbalance of particles and anti-particles . At least , that ’ s what the math says . "," Math , sheath . What ’ s the evidence ? "
" Math , sheath . What ’ s the evidence ? "," There is evidence ! You know Edwin Hubble ? He ’ s the guy who in the early twentieth century was the first scientist to measure the drift of matter in the universe , thus advancing notions of an expanding universe . What would it be expanding from ? Well , the Big Bang ... DUH ! "
" There is evidence ! You know Edwin Hubble ? He ’ s the guy who in the early twentieth century was the first scientist to measure the drift of matter in the universe , thus advancing notions of an expanding universe . What would it be expanding from ? Well , the Big Bang ... DUH ! "," Anyway , it ’ s just a theory . Why do people go around touting theories ? Where ’ s the scientific rigor in that ? "
" Anyway , it ’ s just a theory . Why do people go around touting theories ? Where ’ s the scientific rigor in that ? "," Dude , don ’ t equivocate . A theory only becomes a theory after withstanding rigorous testing . You slept through class , didn ’ t you ? "
Today more and more people advocate lifelong learning . But people have different views about lifelong learning . How do you understand lifelong learning ? , I think lifelong learning is the concept that it's never too soon or too late for learning 
 I think lifelong learning is the concept that it's never too soon or too late for learning , Does that mean studying all the time ? 
 Does that mean studying all the time ? ," I don't think so . I think it's about your attitude towards learning . One should be open to new ideas , decisions , skills or behaviors . "
" I don't think so . I think it's about your attitude towards learning . One should be open to new ideas , decisions , skills or behaviors . ", Then the axiom - ' You can't teach an old dog new tricks ' doesn't work any longer . 
 Then the axiom - ' You can't teach an old dog new tricks ' doesn't work any longer . , You're right . Lifelong learning is about finding learning opportunities at all ages and in numerous contexts 
 You're right . Lifelong learning is about finding learning opportunities at all ages and in numerous contexts ," Yes , I agree with you . When I retired I will participate in programs to keep momentally active . "
" Yes , I agree with you . When I retired I will participate in programs to keep momentally active . "," Me too . To keep up with the changing world , one must be involved in lifelong learning and be ready to accept new things . "
" Me too . To keep up with the changing world , one must be involved in lifelong learning and be ready to accept new things . ", You know what ? I've recently been teaching myself French . 
 You know what ? I've recently been teaching myself French . , Really ? That's great ! I know that your company has a lot of clients in France . 
 Really ? That's great ! I know that your company has a lot of clients in France . ," Yes , so I want to learn French to develop my career . "
How old are you ? , Nine ... but I'll be ten on May 1st.When is your birthday ? 
 Nine ... but I'll be ten on May 1st.When is your birthday ? , I'm older than you ! I'll be ten on April 14th . 
 I'm older than you ! I'll be ten on April 14th . , Are you going to have a birthday party ? 
 Are you going to have a birthday party ? , Maybe . I'll have to ask my mother . 
It smells like an ashtray in here ! , Hi honey ! What ’ s wrong ? Why do you have that look on your face ? 
 Hi honey ! What ’ s wrong ? Why do you have that look on your face ? , What ’ s wrong ? I thought we agreed that you were gonna quit smoking . 
 What ’ s wrong ? I thought we agreed that you were gonna quit smoking . , No ! I said I was going to cut down which is very different . You can ’ t just expect me to go cold turkey overnight ! 
 No ! I said I was going to cut down which is very different . You can ’ t just expect me to go cold turkey overnight ! ," Look , there are other ways to quit . You can try the nicotine patch , or nicotine chewing gum . We spend a fortune on cigarettes every month and now laws are cracking down and not allowing smoking in any public place . It ’ s not like you can just light up like before . "
" Look , there are other ways to quit . You can try the nicotine patch , or nicotine chewing gum . We spend a fortune on cigarettes every month and now laws are cracking down and not allowing smoking in any public place . It ’ s not like you can just light up like before . "," I know , I know . I am trying but , I don ’ t have the willpower to just quit . I can ’ t fight with the urge to reach for my pack of smokes in the morning with coffee or after lunch ! Please understand ? "
" I know , I know . I am trying but , I don ’ t have the willpower to just quit . I can ’ t fight with the urge to reach for my pack of smokes in the morning with coffee or after lunch ! Please understand ? ", Fine ! I want a divorce ! 
Why are you shivering ? , It's freezing . 
It seems that you get antsy when you hear I praise another guy . ," I get antsy not because you praise a guy , but because you may be taken for a ride by a guy like him . "
" I get antsy not because you praise a guy , but because you may be taken for a ride by a guy like him . ", How come you think of him that way ? 
 How come you think of him that way ? , Because you seem to have lost your vigilance . You should be on the watch out . 
 Because you seem to have lost your vigilance . You should be on the watch out . , I have no reason to distrust him . He's never caused any harm . 
 I have no reason to distrust him . He's never caused any harm . , Isn't there anything that sounds fishy ? 
 Isn't there anything that sounds fishy ? , Nothing smells a rat . I told you that he's an all-right guy . 
 Nothing smells a rat . I told you that he's an all-right guy . , All-right guy ? All right . Let's talk about something else instead . 
Cheese ! It tastes like cardboard . , I think so . Maybe that ’ s why it ’ s cheap here . 
Have you signed up to join the company ’ s Christmas party ? ," Sure , I have . Will you join ? "
" Sure , I have . Will you join ? "," I will . You know , as a newcomer , I think it might be a good opportunity to get to know people from the other departments of our company in a more relaxed atmosphere . "
" I will . You know , as a newcomer , I think it might be a good opportunity to get to know people from the other departments of our company in a more relaxed atmosphere . ", You are right . Our company ’ s Christmas party has always been an amazing occasion for everybody to relax and get to know each other better . It is also a time to make new friends and do some networking . 
 You are right . Our company ’ s Christmas party has always been an amazing occasion for everybody to relax and get to know each other better . It is also a time to make new friends and do some networking . , I hope that it is not a formal one when the boss is there . 
 I hope that it is not a formal one when the boss is there . ," No , it will not be formal at all . It is a fun time . You will love the game show . Please dress casually . Usually there is an over abandon of drinks , so be careful with that . "
" No , it will not be formal at all . It is a fun time . You will love the game show . Please dress casually . Usually there is an over abandon of drinks , so be careful with that . "," Don ’ t worry , I can handle that . And I know if the boss is there , even it is an informal evening , it does not make a good impression to get totally drunk in front of him . "
"If the weatherman's predictions are accurate , it should rain tomorrow . ", I hope not . Then we'd have to reschedule our baseball game . 
"hi , Emily , do you know that guy over there ? "," The tall one ? Sure , that's Drive , he works with Lily . "
" The tall one ? Sure , that's Drive , he works with Lily . ", He is cute.What dose he do ? 
 He is cute.What dose he do ? ," I'm not sure , he is a manager I think . "
" I'm not sure , he is a manager I think . ", Really ? Are you going to introduce us ? 
 Really ? Are you going to introduce us ? ," Well , he has already taken you know , that's his wife right there . "
You didn't ring me last night . You said you would . , I'm sorry to have made you disappointed . 
 I'm sorry to have made you disappointed . , That's all right . But why were you so rude to me at lunch . 
 That's all right . But why were you so rude to me at lunch . ," Was I ? Sorry , I didn ’ t mean to be . I do apologize . "
" Was I ? Sorry , I didn ’ t mean to be . I do apologize . ", And why are you yarning now ? Are you bored ? 
 And why are you yarning now ? Are you bored ? , Forgive me darling . I'm very tired . 
"Hi , Nicole . Did you have a good weekend ? "," Yes , I did . But I feel tired today . "
" Yes , I did . But I feel tired today . ", Really ? Why ? 
 Really ? Why ? ," Well , on Saturday I cleaned the house and played tennis . Then on Sunday I hiked in the country . "
" Well , on Saturday I cleaned the house and played tennis . Then on Sunday I hiked in the country . "," And I bet you studied , too . "
" And I bet you studied , too . ", Yeah . I studied on Sunday evening . What about you ? 
 Yeah . I studied on Sunday evening . What about you ? ," Well , I didn't clean the house and I didn't study . I stayed in bed and watched TV . "
" Well , I didn't clean the house and I didn't study . I stayed in bed and watched TV . "," That sounds like fun , but did you exercise ? "
" That sounds like fun , but did you exercise ? ", Sort of . I played golf on my computer ! 
There will be a parade to celebrate National Day this weekend . , What's the route ? 
 What's the route ? , From Zhongshan Circus to City Bank . 
 From Zhongshan Circus to City Bank . , If only I could join it ! 
Excuse me . I'm afraid you're in my seat . You've moved my books . ," Oh , dear . "
" Oh , dear . ", You must have realized somebody was here . 
 You must have realized somebody was here . ," Oh , well , I looked around . There wasn't any other space . I waited a while and nobody came . I'm sorry if I've taken your place . "
What ’ s the life expectancy in your country ? ," I ’ m not sure , but probably about 75 years . How about in your country ? "
" I ’ m not sure , but probably about 75 years . How about in your country ? "," About 70 , I think . This newspaper article talks about the problems of an aging population . It ’ s a problem that will soon affect most of the world . "
" About 70 , I think . This newspaper article talks about the problems of an aging population . It ’ s a problem that will soon affect most of the world . "," I heard that the government might need to increase the retirement age , because otherwise there will not be enough workers to support the young and the elderly . "
" I heard that the government might need to increase the retirement age , because otherwise there will not be enough workers to support the young and the elderly . ", Perhaps we need to have more babies ! Tina gave birth to a baby boy yesterday . 
 Perhaps we need to have more babies ! Tina gave birth to a baby boy yesterday . ," Did she ? That ’ s great . However , if we have too many children , that will have a bad effect on the enviroment . "
" Did she ? That ’ s great . However , if we have too many children , that will have a bad effect on the enviroment . ", How ’ s your son these days ? 
 How ’ s your son these days ? ," Oh , he ’ s fine . Kids seem to grow up very quickly nowadays . "
" Oh , he ’ s fine . Kids seem to grow up very quickly nowadays . ", He ’ ll be a teenager before you know it ! Teenagers are often rebellious ! When do you mine it is a good age to have a child ? 
 He ’ ll be a teenager before you know it ! Teenagers are often rebellious ! When do you mine it is a good age to have a child ? ," I had mine when I was 24 . that ’ s a little young . I ’ d suggest you wait until you are in your late twenties . , or even in your early thirties if you have a good career . "
" I had mine when I was 24 . that ’ s a little young . I ’ d suggest you wait until you are in your late twenties . , or even in your early thirties if you have a good career . "," Yes , I think you ’ re right . I ’ m thinking about having a child , but not just yet . "
" Yes , I think you ’ re right . I ’ m thinking about having a child , but not just yet . ", Is there a big generation gap between parents and their children in you country ? 
 Is there a big generation gap between parents and their children in you country ? ," Yes , there is . Teenagers do not want to live traditional lives . They want to go out , have fun , and explore the world . They want to develop their own view of life . Parents usually try to discourage them , but they don ’ t often succeed . "
" Yes , there is . Teenagers do not want to live traditional lives . They want to go out , have fun , and explore the world . They want to develop their own view of life . Parents usually try to discourage them , but they don ’ t often succeed . ", Parents usually give their children more freedom in my country . Sometimes they give them too much freedom . 
 Parents usually give their children more freedom in my country . Sometimes they give them too much freedom . ," It ’ s almost impossible to get the right balance . If you are too strict , kids might ignore you . If you are too lenient , they might go wild . "
I'm going to Japan this year on vacation . , Have you ever been to America ? 
 Have you ever been to America ? ," No , but I'd really like to . "
" No , but I'd really like to . ", You'd like it . 
"Hey , Mark , long time no see . ", Julie ! It's good to see you again . How have you been ? 
 Julie ! It's good to see you again . How have you been ? , Great . I just got back from a week's vacation in Thailand . 
 Great . I just got back from a week's vacation in Thailand . , Really ? How was it ? 
 Really ? How was it ? , Fantastic ! I didn't want to come back . 
 Fantastic ! I didn't want to come back . , I hear the beaches in Thailand are beautiful . 
 I hear the beaches in Thailand are beautiful . ," They are . And not only that the people are friendly , but also the food is delicious , not to mention cheap . "
" They are . And not only that the people are friendly , but also the food is delicious , not to mention cheap . ", I do like Thai food . Did you see much of Bangkok ? 
 I do like Thai food . Did you see much of Bangkok ? , Not much . I've got enough city life in Beijing . 
 Not much . I've got enough city life in Beijing . , I know what you mean . I could use a vacation myself . 
 I know what you mean . I could use a vacation myself . ," Hey , wouldn't it be great if we could go to Thailand together sometime ? "
" Hey , wouldn't it be great if we could go to Thailand together sometime ? "," Yeah , it sure would . "
Could I see the manager please ? I have a complaint to make . ," Yes , I ’ m the manager here . What can I do for you , Madam ? "
" Yes , I ’ m the manager here . What can I do for you , Madam ? ", Did you have the room checked before we move in ? 
 Did you have the room checked before we move in ? , Which room are you in ? 
 Which room are you in ? ," 1808 . The toilet doesn ’ t work properly , the water doesn ’ t run in the shower . "
" 1808 . The toilet doesn ’ t work properly , the water doesn ’ t run in the shower . ", I ’ m awfully sorry to hear that . I ’ ll turn to it right away . 
"Congratulations , Vivian . You won the grand prize , again . ", Isn't it just great ! I just knew I'd win ! 
 Isn't it just great ! I just knew I'd win ! , You did ? How ? Did you wear red underwear again this year ? 
 You did ? How ? Did you wear red underwear again this year ? , Not only that ! 
 Not only that ! , Tell me ! Tell me ! What's your secret ? ! 
 Tell me ! Tell me ! What's your secret ? ! ," OK , OK . I'll whisper it to you , but you have to promise not to tell anyone ! "
" OK , OK . I'll whisper it to you , but you have to promise not to tell anyone ! ", What ? ! You did that ? ? ! ! ! 
We are going to the concert this evening . Will you join us . , I'm very sorry I can't . 
 I'm very sorry I can't . , Why not ? 
 Why not ? , I've been snowed under with since my bosses away on business . 
"You'v been work here for nearly a month , how do you feel about the job ? "," Not bad.Thank you for your help . I am always busy with this job , I feel a bit tired . "
" Not bad.Thank you for your help . I am always busy with this job , I feel a bit tired . "," I had the same feeling when I first came to work here . but after a period of time , I feel better , I am sure you ' ll get used to this busy job . "
" I had the same feeling when I first came to work here . but after a period of time , I feel better , I am sure you ' ll get used to this busy job . "," I also feel that work efficiency here is very high . and you have strong working ability and professional skill , it seems that you know all , that's really wonderful ! "
" I also feel that work efficiency here is very high . and you have strong working ability and professional skill , it seems that you know all , that's really wonderful ! "," You know the phrase , the survival the fittest . We have no choices . "
" You know the phrase , the survival the fittest . We have no choices . "," That's right , I have to work hard . "
The music is on.May I have the pleasure to dance with you ? ," Sorry , I'm engaged for the foxtrot.Will the next Walls be all right ? "
" Sorry , I'm engaged for the foxtrot.Will the next Walls be all right ? ", Certainly . 
"Excuse me , is this seat taken ? "," No , please feel free . "
" No , please feel free . ", Thanks a lot . 
 Thanks a lot . , Do you work in Shanghai ? 
 Do you work in Shanghai ? , Yes I do . How about you ? 
 Yes I do . How about you ? ," No , I'm a tourist . This place is amazing ! It's much bigger than I imagined , and much more exciting ! There's so much to see here . "
" No , I'm a tourist . This place is amazing ! It's much bigger than I imagined , and much more exciting ! There's so much to see here . ", You can say that again ! It's much more modern than people imagine . Where are you from ? 
 You can say that again ! It's much more modern than people imagine . Where are you from ? ," Um , well let's see ... I'm from Kansas originally . A much quieter and more peaceful place than here , that's for sure ! "
" Um , well let's see ... I'm from Kansas originally . A much quieter and more peaceful place than here , that's for sure ! ", Uh huh ... 
"Look at this headline , Soo Mi . ", Wow ! So many people in the United States get divorced ! 
 Wow ! So many people in the United States get divorced ! , Is it the same in Korea ? 
 Is it the same in Korea ? ," I don't think so . In Korea some marriages break up , but most couples stay together . "
" I don't think so . In Korea some marriages break up , but most couples stay together . ", Do people get married young ? 
 Do people get married young ? , Not really . Very few people get married beforethe age of 20 . 
 Not really . Very few people get married beforethe age of 20 . , Hmm . Do women usually work after they get married ? 
 Hmm . Do women usually work after they get married ? ," No , a lot of women stay home and take care of their families . But some work . "
Boy ! What a beauty ! I fall in love with her at the first sight . , The beauty under the tree ? 
 The beauty under the tree ? , Of course.No girl is more charming . 
 Of course.No girl is more charming . , She is a young man ! 
Excuse me.Where do I register ? ," Oh , over there in Pacific Pavilion . "
" Oh , over there in Pacific Pavilion . "," Is that the large , white building ? "
" Is that the large , white building ? "," Yeah , that's it . "
" Yeah , that's it . ", Thanks . 
How was your education going on in Australia ? , I'm going to graduate this summer . 
 I'm going to graduate this summer . ," Where are you going to work then , in Australia or back in China ? "
" Where are you going to work then , in Australia or back in China ? ", I'm planning to return to China after graduation . 
 I'm planning to return to China after graduation . , Why are you choosing to leave a foreign country ? Many people are reluctant to leave the superior living environment abroad . 
 Why are you choosing to leave a foreign country ? Many people are reluctant to leave the superior living environment abroad . ," Well , I think personal development is much more important than simply having a superior living environment . "
" Well , I think personal development is much more important than simply having a superior living environment . "," Yeah , China's developing so fast and development opportunities can be found almost in every corner of the country . "
"Do you have any particular hobbies , Tom ? "," Oh , yes . I love playing badminton , table tennis and computer games . And playing the games has become my favorite . "
" Oh , yes . I love playing badminton , table tennis and computer games . And playing the games has become my favorite . ", I hear many teenagers will spend hours and hours sitting at computers . And they don't care about their own health at all . How about you ? 
 I hear many teenagers will spend hours and hours sitting at computers . And they don't care about their own health at all . How about you ? ," I'm no better than them . They say it's mindless to sit in front of a machine all the time , but I think it's stimulating . "
" I'm no better than them . They say it's mindless to sit in front of a machine all the time , but I think it's stimulating . "," You won't play online games full of violence , will you ? "
" You won't play online games full of violence , will you ? ", Once in a while . 
 Once in a while . , It's no good . And I think spending several hours each day playing computer games is a waste of time . You might as well do something healthy and meaningful . 
 It's no good . And I think spending several hours each day playing computer games is a waste of time . You might as well do something healthy and meaningful . , I hope I can practice self-control again . 
What ’ s the plot of your new movie ? ," It ’ s a story about a policemen who is investigating a series of strange murders . I play the part of the detective . He has to catch the killer , but there ’ s very little evidence . It ’ s a psychological th "
" It ’ s a story about a policemen who is investigating a series of strange murders . I play the part of the detective . He has to catch the killer , but there ’ s very little evidence . It ’ s a psychological th ", Did you enjoy making the movie ? We heard stories of disagreement with other actors and with the director . 
 Did you enjoy making the movie ? We heard stories of disagreement with other actors and with the director . , I have had disagreement with every director . I ’ Ve worked with . We ’ Ve always disagreed in a friendly way and we have always resolved our differences . It was the same when I made this movie . I don ’ t no 
 I have had disagreement with every director . I ’ Ve worked with . We ’ Ve always disagreed in a friendly way and we have always resolved our differences . It was the same when I made this movie . I don ’ t no , Critics are not very happy with the movies that you ’ Ve made recently . Does that bother you ? 
 Critics are not very happy with the movies that you ’ Ve made recently . Does that bother you ? , Not at all . The feedback from audience has been great . I care about what they think more than what the critics think . 
 Not at all . The feedback from audience has been great . I care about what they think more than what the critics think . , Did you do you own stunts in the movie ? 
 Did you do you own stunts in the movie ? ," I wanted to , but my insurance company wouldn ’ t let me . All of my stunts were done by a stuntman . As you know , I used to do my own stunts , but I ’ ll leave that to the experts in future . "
" I wanted to , but my insurance company wouldn ’ t let me . All of my stunts were done by a stuntman . As you know , I used to do my own stunts , but I ’ ll leave that to the experts in future . ", Thank you very much for doing this interview . 
 Thank you very much for doing this interview . , My pleasure . Have you seen the movie yet ? 
 My pleasure . Have you seen the movie yet ? ," Yes . I have . I liked it very much . Like you , I was very impressed with Rachel ’ s performance in the movie . She ’ s going to be a star . "
Who's that old lady trimming the trees ? , She's my grandma . 
 She's my grandma . , She's looks very healthy.How old is she ? 
 She's looks very healthy.How old is she ? , 92 . 
Mom . My legs are killing me . , Hold on . We will be successful right away . 
"Oh , man . I had the best supper last night . My wife made a stir-fry and it was amazing ! ", I love stir fry crispy bitesize vegetables covered in a mixture of soy sauce and oyster sauce . Wilted greens and fresh bean sprouts . Throw in some onion and garlic and ginger ! Mmm ! Mmm ! It ’ s almost lunchtime . I would die for a plate of stir fry right now ! 
 I love stir fry crispy bitesize vegetables covered in a mixture of soy sauce and oyster sauce . Wilted greens and fresh bean sprouts . Throw in some onion and garlic and ginger ! Mmm ! Mmm ! It ’ s almost lunchtime . I would die for a plate of stir fry right now ! ," Well , you can keep the vegetables , I ’ ll take the meat . The stir fry my wife made was really hearty , with chunks of beef and slivers of bell peppers and onion ... "
